cricket/cricket_1_1_1.avi,Bowling Side,Bowling,Shot
cricket/cricket_1_1_10.avi,Bowling front,Bowling,Shot
cricket/cricket_1_1_100.avi,Bowling front,Ball stop,Bowling startup
cricket/cricket_1_1_101.avi,,Fielder ball Throw,Shot
cricket/cricket_1_1_102.avi,Batsman,,
cricket/cricket_1_1_103.avi,Batsman,,
cricket/cricket_1_1_104.avi,,Fielder ball Throw,
cricket/cricket_1_1_105.avi,Batsman,,
cricket/cricket_1_1_106.avi,,,Player entering/leaving
cricket/cricket_1_1_107.avi,,,Player entering/leaving
cricket/cricket_1_1_108.avi,Bowling front,,
cricket/cricket_1_1_109.avi,Bowling front,,Missed
cricket/cricket_1_1_11.avi,,,Six
cricket/cricket_1_1_110.avi,,,Catch out
cricket/cricket_1_1_111.avi,Batsman,,
cricket/cricket_1_1_112.avi,,,
cricket/cricket_1_1_113.avi,,,Out
cricket/cricket_1_1_114.avi,Bowling front,,Out
cricket/cricket_1_1_115.avi,Batsman,,
cricket/cricket_1_1_116.avi,Batsman,,
cricket/cricket_1_1_117.avi,,Fielder ball Throw,
cricket/cricket_1_1_118.avi,Batsman,,Player entering/leaving
cricket/cricket_1_1_119.avi,Batsman,,
cricket/cricket_1_1_12.avi,Batsman,Bowling,Shot
cricket/cricket_1_1_120.avi,Bowling front,Bowling,Missed
cricket/cricket_1_1_121.avi,Batsman,Bowling,
cricket/cricket_1_1_122.avi,Bowling front,Fielder ball Throw,Shot
cricket/cricket_1_1_123.avi,Batsman,,
cricket/cricket_1_1_124.avi,Bowling front,Bowling,Four
cricket/cricket_1_1_125.avi,,Ball stop,Shot
cricket/cricket_1_1_126.avi,Bowling front,Bowling,Shot
cricket/cricket_1_1_127.avi,Players,,
cricket/cricket_1_1_128.avi,,,Shot
cricket/cricket_1_1_129.avi,Arena,,
cricket/cricket_1_1_13.avi,,,Shot
cricket/cricket_1_1_130.avi,Players,Bowling,Six
cricket/cricket_1_1_131.avi,,,Six
cricket/cricket_1_1_132.avi,,,Six
cricket/cricket_1_1_133.avi,Players,,
cricket/cricket_1_1_134.avi,Players,Fielder ball Throw,Bowling startup
cricket/cricket_1_1_135.avi,Batsman,,
cricket/cricket_1_1_136.avi,,Bowling,Catch out
cricket/cricket_1_1_137.avi,,Bowling,Catch out
cricket/cricket_1_1_138.avi,Bowling front,Bowling,Shot
cricket/cricket_1_1_139.avi,,,Six
cricket/cricket_1_1_14.avi,Batsman,,Four
cricket/cricket_1_1_140.avi,,,Shot
cricket/cricket_1_1_141.avi,,,Six
cricket/cricket_1_1_142.avi,,,Shot
cricket/cricket_1_1_143.avi,Batsman,,
cricket/cricket_1_1_144.avi,Bowling front,Bowling,Shot
cricket/cricket_1_1_145.avi,,,Six
cricket/cricket_1_1_146.avi,,,Six
cricket/cricket_1_1_147.avi,Bowling Side,Bowling,
cricket/cricket_1_1_148.avi,Players,,
cricket/cricket_1_1_149.avi,Batsman,,Shot
cricket/cricket_1_1_15.avi,Players,,
cricket/cricket_1_1_150.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_151.avi,Players,Ball stop,
cricket/cricket_1_1_152.avi,Bowling front,Bowling,Six
cricket/cricket_1_1_153.avi,,,Six
cricket/cricket_1_1_154.avi,Bowling Side,,Six
cricket/cricket_1_1_155.avi,,,Six
cricket/cricket_1_1_156.avi,,,Six
cricket/cricket_1_1_157.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_158.avi,,,Four
cricket/cricket_1_1_159.avi,,Single run,
cricket/cricket_1_1_16.avi,,,Four
cricket/cricket_1_1_160.avi,,,Shot
cricket/cricket_1_1_161.avi,,,Four
cricket/cricket_1_1_162.avi,Batsman,,
cricket/cricket_1_1_163.avi,Bowling front,Bowling,Four
cricket/cricket_1_1_164.avi,Batsman,,Four
cricket/cricket_1_1_165.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_166.avi,,,Six
cricket/cricket_1_1_167.avi,,Fielder ball Throw,Shot
cricket/cricket_1_1_168.avi,Players,,
cricket/cricket_1_1_169.avi,Players,,
cricket/cricket_1_1_17.avi,,,Shot
cricket/cricket_1_1_170.avi,Batsman,,
cricket/cricket_1_1_171.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_172.avi,Bowling front,Fielder ball Throw,Bowling startup
cricket/cricket_1_1_173.avi,Bowling Side,Bowling,Four
cricket/cricket_1_1_174.avi,,,Four
cricket/cricket_1_1_175.avi,,,Catch out
cricket/cricket_1_1_176.avi,Bowling front,Bowling,Six
cricket/cricket_1_1_177.avi,Batsman,Fielder ball Throw,
cricket/cricket_1_1_178.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_179.avi,Players,,
cricket/cricket_1_1_18.avi,,,Catch out
cricket/cricket_1_1_180.avi,Bowling front,Bowling,Shot
cricket/cricket_1_1_181.avi,Bowling front,Bowling,Shot
cricket/cricket_1_1_182.avi,,,Catch out
cricket/cricket_1_1_183.avi,,Fielder ball Throw,Catch out
cricket/cricket_1_1_184.avi,Players,,Out
cricket/cricket_1_1_185.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_186.avi,Bowling front,Fielder ball Throw,Bowling startup
cricket/cricket_1_1_187.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_188.avi,Players,,
cricket/cricket_1_1_189.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_19.avi,Bowling Side,Bowling,
cricket/cricket_1_1_190.avi,,Fielder ball Throw,
cricket/cricket_1_1_191.avi,Players,,
cricket/cricket_1_1_192.avi,Players,,
cricket/cricket_1_1_2.avi,Players,Fielder ball Throw,
cricket/cricket_1_1_20.avi,Arena,,
cricket/cricket_1_1_21.avi,Players,,
cricket/cricket_1_1_22.avi,Players,,
cricket/cricket_1_1_23.avi,Players,,
cricket/cricket_1_1_24.avi,Bowling front,Fielder ball Throw,Bowling startup
cricket/cricket_1_1_25.avi,Bowling front,Fielder ball Throw,Shot
cricket/cricket_1_1_26.avi,Bowling front,Bowling,
cricket/cricket_1_1_27.avi,Bowling front,Fielder ball Throw,Bowling startup
cricket/cricket_1_1_28.avi,Bowling front,Bowling,Bowling startup
cricket/cricket_1_1_29.avi,Batsman,,
cricket/cricket_1_1_3.avi,Bowling front,Bowling,Out
cricket/cricket_1_1_30.avi,Players,Bowling,Out
cricket/cricket_1_1_31.avi,,Bowling,Bowling startup
cricket/cricket_1_1_32.avi,,,Catch out
cricket/cricket_1_1_33.avi,Batsman,,
